"","STATE","lon","lat"
"1","Alabama",-86.902298,32.3182314
"2","Alaska",-149.4936733,64.2008413
"3","Arizona",-111.0937311,34.0489281
"4","Arkansas",-91.8318334,35.20105
"5","California",-119.4179324,36.778261
"6","Colorado",-105.7820674,39.5500507
"7","Connecticut",-73.087749,41.6032207
"8","Delaware",-75.5276699,38.9108325
"9","District of Columbia",NA,NA
"10","Florida",-81.5157535,27.6648274
"11","Georgia",-82.9000751,32.1656221
"12","Guam",144.793731,13.444304
"13","Hawaii",-155.5827818,19.8967662
"14","Idaho",-114.7420408,44.0682019
"15","Illinois",-89.3985283,40.6331249
"16","Indiana",-86.1349019,40.2671941
"17","Iowa",-93.097702,41.8780025
"18","Kansas",-98.4842465,39.011902
"19","Kentucky",-84.2700179,37.8393332
"20","Louisiana",-91.9623327,30.9842977
"21","Maine",-69.4454689,45.253783
"22","Maryland",-76.6412712,39.0457549
"23","Massachusetts",-71.3824374,42.4072107
"24","Michigan",-85.6023643,44.3148443
"25","Minnesota",-94.6858998,46.729553
"26","Mississippi",-89.3985283,32.3546679
"27","Missouri",-91.8318334,37.9642529
"28","Montana",-110.3625658,46.8796822
"29","Nebraska",-99.9018131,41.4925374
"30","Nevada",-116.419389,38.8026097
"31","New Hampshire",NA,NA
"32","New Jersey",NA,NA
"33","New Mexico",-105.8700901,34.5199402
"34","New York",-74.0059728,40.7127753
"35","North Carolina",-79.0192997,35.7595731
"36","North Dakota",-101.0020119,47.5514926
"37","Ohio",-82.907123,40.4172871
"38","Oklahoma",-97.092877,35.0077519
"39","Oregon",-120.5542012,43.8041334
"40","Pennsylvania",-77.1945247,41.2033216
"41","Puerto Rico",-66.590149,18.220833
"42","Rhode Island",NA,NA
"43","South Carolina",-81.1637245,33.836081
"44","South Dakota",-99.9018131,43.9695148
"45","Tennessee",NA,NA
"46","Texas",-99.9018131,31.9685988
"47","Utah",-111.0937311,39.3209801
"48","Vermont",-72.5778415,44.5588028
"49","Virgin Islands",-64.896335,18.335765
"50","Virginia",-78.6568942,37.4315734
"51","Washington",-120.7401385,47.7510741
"52","West Virginia",-80.4549026,38.5976262
"53","Wisconsin",-88.7878678,43.7844397
"54","Wyoming",-107.2902839,43.0759678
